capture_id,labelled_plants,manual_healthy,manual_unhealthy,sensor_environment_prediction,sensor_unhealthy_probability,manual_visible_unhealthy_fraction
CAP_20260817_100003,1,1,0,healthy,0.4265333333333334,0.0
CAP_20260817_110003,1,1,0,healthy,0.4188666666666666,0.0
CAP_20260817_120003,1,1,0,healthy,0.4325333333333334,0.0
CAP_20260829_111323,11,11,0,unhealthy,0.9665,0.0
CAP_20260829_120003,11,11,0,unhealthy,0.9705,0.0
CAP_20260829_130004,11,11,0,unhealthy,0.9665,0.0
CAP_20260829_140004,10,10,0,healthy,0.3462666666666666,0.0
CAP_20260829_150004,11,11,0,healthy,0.3622666666666666,0.0
CAP_20260829_160004,11,11,0,healthy,0.3492666666666666,0.0
CAP_20260830_063007,9,9,0,healthy,0.4577666666666667,0.0
CAP_20260830_070004,10,10,0,healthy,0.4567666666666666,0.0
CAP_20260901_080006,10,5,5,unhealthy,1.0,0.5
CAP_20260901_090003,11,3,8,healthy,0.4608666666666668,0.7272727272727273
CAP_20260901_100004,7,0,7,healthy,0.4157666666666666,1.0
CAP_20260901_110004,7,0,7,unhealthy,0.994,1.0
CAP_20260901_120003,7,0,7,healthy,0.4369333333333333,1.0
CAP_20260901_130632,10,0,10,healthy,0.3529333333333333,1.0
CAP_20260901_140003,10,0,10,healthy,0.3900333333333333,1.0
