capture_id,plant_id,ground_truth,E1_image_prediction,E2_sensor_environment_prediction,E4_complementary_state
CAP_20260817_100003,P06,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260817_110003,P06,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260817_120003,P06,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260829_111323,P01,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P02,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P03,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P04,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P05,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P06,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P07,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P09,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P10,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P11,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_111323,P12,healthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260829_120003,P01,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P02,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P03,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P04,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P05,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P06,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P07,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P09,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P10,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P11,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_120003,P12,healthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260829_130004,P01,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P02,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P03,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P04,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P05,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P06,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P07,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P09,healthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260829_130004,P10,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P11,healthy,healthy,unhealthy,EARLY ENVIRONMENTAL WARNING
CAP_20260829_130004,P12,healthy,unhealthy,unhealthy,HIGH RISK - VISIBLE + ENVIRONMENTAL STRESS
CAP_20260829_140004,P01,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P02,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P03,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P04,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P05,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P06,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P07,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P10,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P11,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_140004,P12,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
CAP_20260829_150004,P01,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P02,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P03,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P04,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P05,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P06,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P07,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P09,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P10,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P11,healthy,healthy,healthy,HEALTHY / STABLE
CAP_20260829_150004,P12,healthy,unhealthy,healthy,VISIBLE PLANT STRESS - ENVIRONMENT CURRENTLY NORMAL
