experiment,threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,roc_auc,average_precision,brier_score,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp,image_weight,sensor_weight
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.4942495126705653,0.4263157196943847,0.4019559114765101,57,38,42,12,0.0,1.0
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.49610136452241715,0.44916529005354244,0.39717131040941467,57,38,42,12,0.01,0.99
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5,0.4620395717103306,0.392439300487091,57,38,42,12,0.02,0.98
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5060428849902534,0.47215326027874194,0.3877598817095391,57,38,42,12,0.03,0.97
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5134502923976608,0.48078745904337394,0.3831330540767591,57,38,42,12,0.04,0.96
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5152046783625731,0.4823320701474072,0.37855881758875076,57,38,42,12,0.05,0.95
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5220272904483431,0.4831625729920157,0.37403717224551414,57,38,42,12,0.06,0.94
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5269005847953216,0.48419131987674086,0.36956811804704953,57,38,42,12,0.07,0.93
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5272904483430799,0.4798959485982122,0.3651516549933565,57,38,42,12,0.08,0.92
E3_Classical_Late_Fusion,0.5,149,0.46308724832214765,0.4111111111111111,0.4091990483743061,0.24,0.2222222222222222,0.23076923076923078,0.5286549707602339,0.4787691672832569,0.36078778308443527,57,38,42,12,0.09,0.91
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.40058479532163743,0.39966588050314467,0.23076923076923078,0.2222222222222222,0.22641509433962265,0.5321637426900585,0.47734030396166294,0.35647650232028577,55,40,42,12,0.1,0.9
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.40058479532163743,0.39966588050314467,0.23076923076923078,0.2222222222222222,0.22641509433962265,0.5358674463937622,0.47885525209130575,0.35221781270090813,55,40,42,12,0.11,0.89
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.40058479532163743,0.39966588050314467,0.23076923076923078,0.2222222222222222,0.22641509433962265,0.5395711500974659,0.47943745504155033,0.3480117142263022,55,40,42,12,0.12,0.88
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.40058479532163743,0.39966588050314467,0.23076923076923078,0.2222222222222222,0.22641509433962265,0.5428849902534113,0.4778067861530304,0.34385820689646807,55,40,42,12,0.13,0.87
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.40058479532163743,0.39966588050314467,0.23076923076923078,0.2222222222222222,0.22641509433962265,0.5461988304093568,0.4776047570164345,0.33975729071140576,55,40,42,12,0.14,0.86
E3_Classical_Late_Fusion,0.5,149,0.4429530201342282,0.3953216374269006,0.39487204579928564,0.22641509433962265,0.2222222222222222,0.22429906542056074,0.5473684210526316,0.47641746506541116,0.33570896567111513,54,41,42,12,0.15,0.85
E3_Classical_Late_Fusion,0.5,149,0.4429530201342282,0.3953216374269006,0.39487204579928564,0.22641509433962265,0.2222222222222222,0.22429906542056074,0.550682261208577,0.47781149000778445,0.3317132317755963,54,41,42,12,0.16,0.84
E3_Classical_Late_Fusion,0.5,149,0.4429530201342282,0.3953216374269006,0.39487204579928564,0.22641509433962265,0.2222222222222222,0.22429906542056074,0.5536062378167641,0.47903738668834484,0.3277700890248493,54,41,42,12,0.17,0.83
E3_Classical_Late_Fusion,0.5,149,0.4429530201342282,0.3953216374269006,0.39487204579928564,0.22641509433962265,0.2222222222222222,0.22429906542056074,0.5553606237816764,0.47996513496172183,0.323879537418874,54,41,42,12,0.18,0.82
E3_Classical_Late_Fusion,0.5,149,0.4429530201342282,0.3953216374269006,0.39487204579928564,0.22641509433962265,0.2222222222222222,0.22429906542056074,0.5582846003898636,0.4812370479943785,0.32004157695767055,54,41,42,12,0.19,0.81
E3_Classical_Late_Fusion,0.5,149,0.436241610738255,0.3900584795321637,0.3900584795321637,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.5590643274853802,0.48023775613906705,0.31625620764123885,53,42,42,12,0.2,0.8
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.40857699805068226,0.4091876208897485,0.25,0.25925925925925924,0.2545454545454545,0.5594541910331384,0.47966283801467224,0.31252342946957884,53,42,40,14,0.21,0.79
E3_Classical_Late_Fusion,0.5,149,0.4429530201342282,0.4033138401559454,0.40420099243628654,0.24561403508771928,0.25925925925925924,0.25225225225225223,0.560233918128655,0.48000219645665027,0.30884324244269074,52,43,40,14,0.22,0.78
E3_Classical_Late_Fusion,0.5,149,0.44966442953020136,0.4125730994152047,0.41349846390168965,0.25862068965517243,0.2777777777777778,0.26785714285714285,0.5604288499025342,0.4783202599408536,0.3052156465605743,52,43,39,15,0.23,0.77
E3_Classical_Late_Fusion,0.5,149,0.4563758389261745,0.42183235867446395,0.4226740014350634,0.2711864406779661,0.2962962962962963,0.2831858407079646,0.560428849902534,0.47837853751533693,0.3016406418232297,52,43,38,16,0.24,0.76
E3_Classical_Late_Fusion,0.5,149,0.4563758389261745,0.42183235867446395,0.4226740014350634,0.2711864406779661,0.2962962962962963,0.2831858407079646,0.5608187134502924,0.4785562939935306,0.29811822823065676,52,43,38,16,0.25,0.75
E3_Classical_Late_Fusion,0.5,149,0.4697986577181208,0.4403508771929825,0.4406747445949156,0.29508196721311475,0.3333333333333333,0.3130434782608696,0.5619883040935673,0.47901847863115693,0.2946484057828558,52,43,36,18,0.26,0.74
E3_Classical_Late_Fusion,0.5,149,0.47651006711409394,0.44961013645224174,0.44950738916256155,0.3064516129032258,0.35185185185185186,0.3275862068965517,0.5619883040935673,0.4790550083968791,0.29123117447982644,52,43,35,19,0.27,0.73
E3_Classical_Late_Fusion,0.5,149,0.47651006711409394,0.44961013645224174,0.44950738916256155,0.3064516129032258,0.35185185185185186,0.3275862068965517,0.5619883040935673,0.4766899297731114,0.2878665343215689,52,43,35,19,0.28,0.72
E3_Classical_Late_Fusion,0.5,149,0.48322147651006714,0.458869395711501,0.45823298861972894,0.31746031746031744,0.37037037037037035,0.3418803418803419,0.5606237816764132,0.4761112434149164,0.2845544853080831,52,43,34,20,0.29,0.71
E3_Classical_Late_Fusion,0.5,149,0.4899328859060403,0.4681286549707603,0.4668549905838041,0.328125,0.3888888888888889,0.3559322033898305,0.5612085769980506,0.47639363321116224,0.2812950274393692,52,43,33,21,0.3,0.7
E3_Classical_Late_Fusion,0.5,149,0.4899328859060403,0.4721247563352826,0.46985018726591754,0.3333333333333333,0.4074074074074074,0.36666666666666664,0.561598440545809,0.4759547130060345,0.27808816071542697,51,44,32,22,0.31,0.69
E3_Classical_Late_Fusion,0.5,149,0.4899328859060403,0.4721247563352826,0.46985018726591754,0.3333333333333333,0.4074074074074074,0.36666666666666664,0.5610136452241716,0.47571973377273513,0.27493388513625655,51,44,32,22,0.32,0.68
E3_Classical_Late_Fusion,0.5,149,0.4966442953020134,0.4813840155945419,0.4782182378484382,0.34328358208955223,0.42592592592592593,0.38016528925619836,0.561598440545809,0.4759252334677579,0.27183220070185793,51,44,31,23,0.33,0.67
E3_Classical_Late_Fusion,0.5,149,0.4966442953020134,0.4813840155945419,0.4782182378484382,0.34328358208955223,0.42592592592592593,0.38016528925619836,0.5612085769980506,0.4757648804498141,0.268783107412231,51,44,31,23,0.34,0.66
E3_Classical_Late_Fusion,0.5,149,0.4966442953020134,0.4813840155945419,0.4782182378484382,0.34328358208955223,0.42592592592592593,0.38016528925619836,0.5608187134502924,0.4756162375047142,0.26578660526737585,51,44,31,23,0.35,0.65
E3_Classical_Late_Fusion,0.5,149,0.5033557046979866,0.49064327485380116,0.4864940387481371,0.35294117647058826,0.4444444444444444,0.39344262295081966,0.560428849902534,0.4749820260998394,0.2628426942672925,51,44,30,24,0.36,0.64
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.5091617933723197,0.5027808676307007,0.37142857142857144,0.48148148148148145,0.41935483870967744,0.5608187134502924,0.4751231159249566,0.25995137441198096,51,44,28,26,0.37,0.63
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.5091617933723197,0.5027808676307007,0.37142857142857144,0.48148148148148145,0.41935483870967744,0.5612085769980507,0.47409348260217005,0.2571126457014412,51,44,28,26,0.38,0.62
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.5091617933723197,0.5027808676307007,0.37142857142857144,0.48148148148148145,0.41935483870967744,0.561598440545809,0.47423695656283243,0.25432650813567315,51,44,28,26,0.39,0.61
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.5091617933723197,0.5027808676307007,0.37142857142857144,0.48148148148148145,0.41935483870967744,0.5617933723196882,0.4742664724712111,0.2515929617146769,51,44,28,26,0.4,0.6
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.5091617933723197,0.5027808676307007,0.37142857142857144,0.48148148148148145,0.41935483870967744,0.5623781676413255,0.47394188707008833,0.24891200643845238,51,44,28,26,0.41,0.59
E3_Classical_Late_Fusion,0.5,149,0.5234899328859061,0.5184210526315789,0.5107976878612717,0.38028169014084506,0.5,0.432,0.5692007797270955,0.47661213782419704,0.24628364230699964,51,44,27,27,0.42,0.58
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.513157894736842,0.5049833887043189,0.375,0.5,0.42857142857142855,0.5775828460038985,0.4810581274319262,0.24370786932031877,50,45,27,27,0.43,0.57
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.513157894736842,0.5049833887043189,0.375,0.5,0.42857142857142855,0.5867446393762183,0.48730722765332946,0.24118468747840965,50,45,27,27,0.44,0.56
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.513157894736842,0.5049833887043189,0.375,0.5,0.42857142857142855,0.5978557504873294,0.4942412048219571,0.2387140967812723,50,45,27,27,0.45,0.55
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.513157894736842,0.5049833887043189,0.375,0.5,0.42857142857142855,0.6091617933723197,0.5041379948253174,0.23629609722890665,50,45,27,27,0.46,0.54
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.513157894736842,0.5049833887043189,0.375,0.5,0.42857142857142855,0.619103313840156,0.5126428637292184,0.2339306888213128,50,45,27,27,0.47,0.53
E3_Classical_Late_Fusion,0.5,149,0.5167785234899329,0.513157894736842,0.5049833887043189,0.375,0.5,0.42857142857142855,0.6300194931773879,0.5212188200671926,0.23161787155849073,50,45,27,27,0.48,0.52
E3_Classical_Late_Fusion,0.5,149,0.5570469798657718,0.5447368421052632,0.5396067415730337,0.4090909090909091,0.5,0.45,0.6391812865497075,0.5287880952477609,0.22935764544044046,56,39,27,27,0.49,0.51
E3_Classical_Late_Fusion,0.5,149,0.610738255033557,0.5948343079922027,0.5906593406593407,0.46774193548387094,0.5370370370370371,0.5,0.6504873294346979,0.5371763067435812,0.2271500104671619,62,33,25,29,0.5,0.5
E3_Classical_Late_Fusion,0.5,149,0.6442953020134228,0.6251461988304094,0.6222434824204737,0.5084745762711864,0.5555555555555556,0.5309734513274337,0.6590643274853801,0.5453207451711068,0.2249949666386552,66,29,24,30,0.51,0.49
E3_Classical_Late_Fusion,0.5,149,0.6711409395973155,0.6461988304093567,0.6455997281685355,0.5454545454545454,0.5555555555555556,0.5504587155963303,0.6664717348927875,0.5525270480504201,0.2228925139549202,70,25,24,30,0.52,0.48
E3_Classical_Late_Fusion,0.5,149,0.6778523489932886,0.6514619883040935,0.6514619883040935,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6717348927875243,0.5572394947113841,0.22084265241595705,71,24,24,30,0.53,0.47
E3_Classical_Late_Fusion,0.5,149,0.6912751677852349,0.6659844054580897,0.6659844054580897,0.5740740740740741,0.5740740740740741,0.5740740740740741,0.6773879142300195,0.5642038956816753,0.2188453820217656,72,23,23,31,0.54,0.46
E3_Classical_Late_Fusion,0.5,149,0.7248322147651006,0.6962962962962963,0.698544288181594,0.6274509803921569,0.5925925925925926,0.6095238095238096,0.6816764132553607,0.5670540382435539,0.216900702772346,76,19,22,32,0.55,0.45
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.7068226120857699,0.7106796116504854,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.6877192982456141,0.57246491528247,0.21500861466769808,78,17,22,32,0.56,0.44
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.7068226120857699,0.7106796116504854,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.6922027290448344,0.5731622001294113,0.21316911770782196,78,17,22,32,0.57,0.43
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.7068226120857699,0.7106796116504854,0.6530612244897959,0.5925925925925926,0.6213592233009708,0.6990253411306043,0.579189665154053,0.21138221189271764,78,17,22,32,0.58,0.42
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7120857699805068,0.7167867146858744,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.7023391812865497,0.5821189637400932,0.2096478972223851,79,16,22,32,0.59,0.41
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7120857699805068,0.7167867146858744,0.6666666666666666,0.5925925925925926,0.6274509803921569,0.7060428849902534,0.5854851826316835,0.20796617369682432,79,16,22,32,0.6,0.4
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.7028265107212476,0.7079459214957029,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.7087719298245614,0.5890064356243716,0.20633704131603534,79,16,23,31,0.61,0.39
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.7028265107212476,0.7079459214957029,0.6595744680851063,0.5740740740740741,0.6138613861386139,0.7132553606237816,0.5946889270341622,0.20476050008001812,79,16,23,31,0.62,0.38
E3_Classical_Late_Fusion,0.5,149,0.7449664429530202,0.7080896686159843,0.714040404040404,0.6739130434782609,0.5740740740740741,0.62,0.715009746588694,0.5965282355752975,0.2032365499887726,80,15,23,31,0.63,0.37
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6988304093567251,0.7050403532815593,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.7175438596491228,0.5990570050219661,0.20176519104229892,80,15,24,30,0.64,0.36
E3_Classical_Late_Fusion,0.5,149,0.7315436241610739,0.6935672514619884,0.698989898989899,0.6521739130434783,0.5555555555555556,0.6,0.7194931773879143,0.6011032698601423,0.20034642324059698,79,16,24,30,0.65,0.35
E3_Classical_Late_Fusion,0.5,149,0.738255033557047,0.6988304093567251,0.7050403532815593,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.7208576998050682,0.6026298626988857,0.19898024658366684,80,15,24,30,0.66,0.34
