comparison,metric,observed_difference,bootstrap_mean_difference,bootstrap_95_ci_lower,bootstrap_95_ci_upper,permutation_p_value_two_sided,capture_clusters,bootstrap_iterations,permutation_iterations
Fusion_60_40_minus_Image_Only,accuracy,-0.03355704697986572,-0.03314676832624908,-0.10219409161446058,0.04054743519029226,0.49055094490550943,18,10000,10000
Fusion_60_40_minus_Image_Only,balanced_accuracy,-0.034307992202729176,-0.031392169752820095,-0.11595851063829785,0.07506331963364386,0.5056494350564944,18,10000,10000
Fusion_60_40_minus_Image_Only,macro_f1,-0.03609060350279725,-0.035965689733817856,-0.11767740545823133,0.05510725284176089,0.48135186481351866,18,10000,10000
Fusion_60_40_minus_Image_Only,unhealthy_recall,-0.03703703703703709,-0.0313815230264786,-0.18918918918918914,0.17499999999999993,0.873012698730127,18,10000,10000
Fusion_60_40_minus_Image_Only,unhealthy_f1,-0.045816346340516456,-0.04600003858340444,-0.170078206121339,0.08852974734187649,0.5774422557744225,18,10000,10000
Best_Exploratory_Fusion_minus_Image_Only,accuracy,-0.03355704697986572,-0.03314676832624908,-0.10219409161446058,0.04054743519029226,0.49055094490550943,18,10000,10000
Best_Exploratory_Fusion_minus_Image_Only,balanced_accuracy,-0.034307992202729176,-0.031392169752820095,-0.11595851063829785,0.07506331963364386,0.5056494350564944,18,10000,10000
Best_Exploratory_Fusion_minus_Image_Only,macro_f1,-0.03609060350279725,-0.035965689733817856,-0.11767740545823133,0.05510725284176089,0.48135186481351866,18,10000,10000
Best_Exploratory_Fusion_minus_Image_Only,unhealthy_recall,-0.03703703703703709,-0.0313815230264786,-0.18918918918918914,0.17499999999999993,0.873012698730127,18,10000,10000
Best_Exploratory_Fusion_minus_Image_Only,unhealthy_f1,-0.045816346340516456,-0.04600003858340444,-0.170078206121339,0.08852974734187649,0.5774422557744225,18,10000,10000
