image_weight,sensor_weight,disagreement_observations,fusion_follows_image_count,fusion_follows_image_pct,fusion_follows_sensor_count,fusion_follows_sensor_pct,balance_gap_percentage_points
0.4,0.6,863,154,17.84472769409038,709,82.15527230590962,64.31054461181924
0.41,0.5900000000000001,863,155,17.96060254924681,708,82.03939745075319,64.07879490150637
0.42,0.5800000000000001,863,155,17.96060254924681,708,82.03939745075319,64.07879490150637
0.43,0.5700000000000001,863,156,18.076477404403242,707,81.92352259559675,63.84704519119351
0.44,0.56,863,157,18.192352259559673,706,81.80764774044033,63.61529548088066
0.45,0.55,863,159,18.424101969872538,704,81.57589803012746,63.151796060254924
0.46,0.54,863,181,20.973348783314023,682,79.02665121668598,58.053302433371954
0.47,0.53,863,241,27.925840092699882,622,72.07415990730011,44.14831981460023
0.48,0.52,863,282,32.67670915411356,581,67.32329084588645,34.64658169177289
0.49,0.51,863,523,60.60254924681344,340,39.39745075318656,21.205098493626878
0.5,0.5,863,736,85.28389339513326,127,14.716106604866743,70.56778679026652
