capture_id,timestamp,plant_observations,image_sensor_agreements,image_fusion_agreements,sensor_fusion_agreements,ph,tds_ppm,air_temp_c,humidity_pct,water_temp_c,camera_lux,image_sensor_disagreements
CAP_20260816_153653,2026-08-16 15:36:53,12,11,11,12,6.02,839.2,31.8,69.7,30.25,331.30987548828125,1
CAP_20260816_154520,2026-08-16 15:45:20,12,12,12,12,6.26,840.6,31.9,69.7,30.19,225.92471313476562,0
CAP_20260816_160003,2026-08-16 16:00:03,12,12,12,12,6.32,840.2,31.7,70.1,30.19,265.1918029785156,0
CAP_20260817_060004,2026-08-17 06:00:04,12,10,12,10,6.34,879.2,30.0,78.2,28.94,15.030524253845215,2
CAP_20260817_070004,2026-08-17 07:00:04,12,10,12,10,6.29,878.9,30.1,78.2,28.94,101.51020050048828,2
CAP_20260817_080003,2026-08-17 08:00:03,12,7,11,8,6.38,877.7,30.4,72.0,29.0,134.4456024169922,5
CAP_20260817_090003,2026-08-17 09:00:03,12,8,11,9,6.31,874.0,31.4,70.2,29.19,196.75216674804688,4
CAP_20260817_100003,2026-08-17 10:00:03,12,8,12,8,6.39,867.2,31.8,70.5,29.5,211.75936889648438,4
CAP_20260817_110003,2026-08-17 11:00:03,12,10,11,11,6.36,859.9,31.7,71.8,29.81,238.82334899902344,2
CAP_20260817_120003,2026-08-17 12:00:03,12,9,12,9,6.46,855.0,32.4,67.3,30.06,326.979248046875,3
CAP_20260817_130003,2026-08-17 13:00:03,12,8,10,10,6.47,850.2,32.3,67.8,30.25,216.15855407714844,4
CAP_20260817_140003,2026-08-17 14:00:03,12,8,11,9,6.41,864.7,29.2,77.7,29.5,417.5419006347656,4
CAP_20260817_150003,2026-08-17 15:00:03,12,12,12,12,6.34,873.5,32.6,69.1,29.12,614.7772827148438,0
CAP_20260817_160004,2026-08-17 16:00:04,12,12,12,12,6.44,872.9,33.9,67.5,29.19,579.2879028320312,0
CAP_20260819_115127,2026-08-19 11:51:27,12,9,12,9,6.58,811.0,30.9,74.4,30.06,271.63189697265625,3
CAP_20260819_115305,2026-08-19 11:53:05,12,10,12,10,6.59,810.4,31.3,73.0,30.06,245.21031188964844,2
CAP_20260819_115545,2026-08-19 11:55:45,12,10,12,10,6.49,809.7,32.0,69.1,30.06,307.4057922363281,2
CAP_20260819_120003,2026-08-19 12:00:03,12,8,9,11,6.55,808.8,32.3,67.6,30.06,285.75738525390625,4
CAP_20260819_120111,2026-08-19 12:01:11,12,10,11,11,6.61,808.4,32.2,68.7,30.06,297.0429382324219,2
CAP_20260819_130003,2026-08-19 13:00:03,12,4,11,5,6.57,795.4,33.1,67.2,30.37,298.40966796875,8
CAP_20260819_140003,2026-08-19 14:00:03,12,3,9,6,6.73,785.7,32.9,67.7,30.62,330.4953308105469,9
CAP_20260819_150003,2026-08-19 15:00:03,12,4,10,6,6.82,781.5,32.9,67.2,30.62,288.03607177734375,8
CAP_20260819_160003,2026-08-19 16:00:03,12,3,7,8,6.61,777.0,31.9,71.5,30.56,301.8089904785156,9
CAP_20260828_115320,2026-08-28 11:53:20,12,12,12,12,5.72,773.0,30.7,76.6,28.69,166.68162536621094,0
CAP_20260828_120553,2026-08-28 12:05:53,12,12,12,12,6.02,765.5,31.6,74.4,28.87,220.17645263671875,0
CAP_20260828_120831,2026-08-28 12:08:31,12,12,12,12,6.11,765.1,31.8,73.8,28.87,347.05621337890625,0
CAP_20260828_121111,2026-08-28 12:11:11,12,12,12,12,6.02,763.3,32.0,72.5,28.94,247.58055114746094,0
CAP_20260828_121727,2026-08-28 12:17:27,12,12,12,12,6.13,759.6,32.2,72.6,29.06,298.3699951171875,0
CAP_20260828_122713,2026-08-28 12:27:13,12,12,12,12,6.1,756.0,32.3,71.2,29.19,281.44195556640625,0
CAP_20260828_124143,2026-08-28 12:41:43,12,12,12,12,6.18,752.5,32.3,71.7,29.44,207.22344970703125,0
CAP_20260829_111323,2026-08-29 11:13:23,12,0,12,0,6.22,723.8,32.0,72.8,29.75,250.63475036621094,12
CAP_20260829_111504,2026-08-29 11:15:04,12,0,12,0,6.23,723.6,32.0,72.7,29.75,235.65357971191406,12
CAP_20260829_113003,2026-08-29 11:30:03,12,0,12,0,6.17,715.5,32.5,70.7,29.87,232.0760498046875,12
CAP_20260829_114503,2026-08-29 11:45:03,12,0,12,0,6.2,712.1,32.3,71.3,29.94,273.1937561035156,12
CAP_20260829_120003,2026-08-29 12:00:03,12,0,12,0,6.35,710.8,32.6,69.1,29.87,291.99462890625,12
CAP_20260829_121504,2026-08-29 12:15:04,12,0,12,0,6.26,708.8,32.8,70.8,29.87,268.4694519042969,12
CAP_20260829_123003,2026-08-29 12:30:03,12,0,12,0,6.18,706.2,32.7,68.8,29.94,313.8747863769531,12
CAP_20260829_124503,2026-08-29 12:45:03,12,0,12,0,6.25,704.0,32.5,69.9,30.0,172.75335693359375,12
CAP_20260829_130004,2026-08-29 13:00:04,12,0,12,0,6.2,701.1,32.3,70.5,30.06,220.43423461914062,12
CAP_20260829_131504,2026-08-29 13:15:04,12,0,12,0,6.25,704.2,32.4,69.2,30.06,245.7418212890625,12
CAP_20260829_133003,2026-08-29 13:30:03,12,12,12,12,5.89,810.6,32.9,69.8,30.12,239.35951232910156,0
CAP_20260829_134503,2026-08-29 13:45:03,12,12,12,12,5.89,816.0,33.0,67.9,30.12,301.43817138671875,0
CAP_20260829_140004,2026-08-29 14:00:04,12,12,12,12,5.98,814.7,32.8,68.2,30.25,301.2534484863281,0
CAP_20260829_141503,2026-08-29 14:15:03,12,12,12,12,6.08,814.3,32.8,69.6,30.31,184.2255859375,0
CAP_20260829_143003,2026-08-29 14:30:03,12,12,12,12,6.11,813.5,32.9,68.5,30.37,314.22430419921875,0
CAP_20260829_144504,2026-08-29 14:45:04,12,12,12,12,6.12,812.9,32.9,67.6,30.44,409.29241943359375,0
CAP_20260829_150004,2026-08-29 15:00:04,12,12,12,12,6.15,811.1,32.7,69.3,30.5,492.50396728515625,0
CAP_20260829_151503,2026-08-29 15:15:03,12,12,12,12,6.09,809.9,32.7,68.1,30.56,210.73867797851562,0
CAP_20260829_153003,2026-08-29 15:30:03,12,12,12,12,6.14,810.9,32.5,69.6,30.5,222.52664184570312,0
CAP_20260829_154504,2026-08-29 15:45:04,12,12,12,12,6.18,809.0,32.6,69.6,30.56,234.26844787597656,0
CAP_20260829_160004,2026-08-29 16:00:04,12,12,12,12,6.12,808.6,32.5,69.4,30.56,220.49539184570312,0
CAP_20260829_161503,2026-08-29 16:15:03,12,12,12,12,6.12,809.3,32.1,69.2,30.5,164.55990600585938,0
CAP_20260829_163004,2026-08-29 16:30:04,12,12,12,12,6.17,809.8,31.8,70.8,30.44,127.6761703491211,0
CAP_20260829_164504,2026-08-29 16:45:04,12,12,12,12,6.07,811.7,31.7,69.8,30.31,119.05323028564453,0
CAP_20260830_063007,2026-08-30 06:30:07,12,12,12,12,6.32,811.3,27.6,85.8,28.87,34.082618713378906,0
CAP_20260830_064504,2026-08-30 06:45:04,12,0,12,0,6.21,776.2,29.1,80.0,28.87,76.32524871826172,12
CAP_20260830_070004,2026-08-30 07:00:04,12,0,12,0,6.21,772.9,29.6,77.1,28.87,122.84605407714844,12
CAP_20260830_071503,2026-08-30 07:15:03,12,0,12,0,6.35,788.2,30.0,77.0,28.94,161.6306915283203,12
CAP_20260830_073004,2026-08-30 07:30:04,12,9,12,9,6.26,811.7,30.4,77.3,29.0,142.105712890625,3
CAP_20260830_074504,2026-08-30 07:45:04,12,12,12,12,6.3,811.1,30.6,75.5,28.94,115.23822021484375,0
