capture_id,labelled_plants,healthy_ground_truth,unhealthy_ground_truth,old_sensor_unhealthy_probability,new_sensor_unhealthy_probability,old_sensor_prediction_050,new_sensor_prediction_selected
CAP_20260817_100003,1,1,0,0.4266666666666667,0.4265333333333334,healthy,healthy
CAP_20260817_110003,1,1,0,0.43,0.4188666666666666,healthy,healthy
CAP_20260817_120003,1,1,0,0.43333333333333335,0.4325333333333334,healthy,healthy
CAP_20260829_111323,11,11,0,0.9133333333333333,0.9664999999999999,unhealthy,unhealthy
CAP_20260829_120003,11,11,0,0.9766666666666667,0.9704999999999999,unhealthy,unhealthy
CAP_20260829_130004,11,11,0,0.9766666666666667,0.9664999999999999,unhealthy,unhealthy
CAP_20260829_140004,10,10,0,0.28,0.34626666666666667,healthy,healthy
CAP_20260829_150004,11,11,0,0.28,0.3622666666666666,healthy,healthy
CAP_20260829_160004,11,11,0,0.26666666666666666,0.34926666666666667,healthy,healthy
CAP_20260830_063007,9,9,0,0.23,0.45776666666666677,healthy,healthy
CAP_20260830_070004,10,10,0,0.9266666666666666,0.45676666666666665,unhealthy,healthy
CAP_20260901_080006,10,5,5,0.9433333333333334,1.0,unhealthy,unhealthy
CAP_20260901_090003,11,3,8,0.3566666666666667,0.4608666666666668,healthy,healthy
CAP_20260901_100004,7,0,7,0.29333333333333333,0.4157666666666666,healthy,healthy
CAP_20260901_110004,7,0,7,0.9733333333333334,0.994,unhealthy,unhealthy
CAP_20260901_120003,7,0,7,0.9733333333333334,0.43693333333333334,unhealthy,healthy
CAP_20260901_130632,10,0,10,0.30333333333333334,0.3529333333333333,healthy,healthy
CAP_20260901_140003,10,0,10,0.43,0.39003333333333334,healthy,healthy
