capture_id,timestamp,ph,tds_ppm,air_temp_c,humidity_pct,water_temp_c,sensor_unhealthy_probability,expert_environment_warning
CAP_20260816_153653,2026-08-16 15:36:53,6.02,839.2,31.8,69.7,30.25,0.3478666666666666,1
CAP_20260816_154520,2026-08-16 15:45:20,6.26,840.6,31.9,69.7,30.19,0.4203666666666666,1
CAP_20260816_160003,2026-08-16 16:00:03,6.32,840.2,31.7,70.1,30.19,0.4133666666666666,1
CAP_20260816_170003,2026-08-16 17:00:03,6.32,843.5,31.4,69.7,30.0,0.4133666666666666,1
CAP_20260816_180003,2026-08-16 18:00:03,6.21,862.2,30.9,69.7,29.81,0.39403333333333335,0
CAP_20260816_190003,2026-08-16 19:00:03,6.29,864.6,30.6,75.3,29.69,0.4673666666666667,0
CAP_20260816_200003,2026-08-16 20:00:03,6.34,867.5,30.5,75.2,29.56,0.46086666666666676,0
CAP_20260816_210003,2026-08-16 21:00:03,6.22,870.3,30.0,74.5,29.44,0.4330333333333334,0
CAP_20260816_220004,2026-08-16 22:00:04,6.3,872.9,29.9,77.3,29.31,0.45936666666666676,0
CAP_20260816_230004,2026-08-16 23:00:04,6.27,874.3,30.0,77.6,29.25,0.4673666666666667,0
CAP_20260817_000004,2026-08-17 00:00:04,6.28,873.8,29.9,78.0,29.25,0.4673666666666667,0
CAP_20260817_010003,2026-08-17 01:00:03,6.31,875.3,30.2,77.5,29.19,0.45936666666666676,0
CAP_20260817_020004,2026-08-17 02:00:04,6.26,874.9,30.3,77.0,29.19,0.4663666666666667,0
CAP_20260817_030003,2026-08-17 03:00:03,6.3,876.2,30.2,76.7,29.12,0.45936666666666676,0
CAP_20260817_040003,2026-08-17 04:00:03,6.28,877.0,30.2,77.2,29.06,0.4673666666666667,0
CAP_20260817_050003,2026-08-17 05:00:03,6.35,878.1,30.0,77.1,29.0,0.46086666666666676,0
CAP_20260817_060004,2026-08-17 06:00:04,6.34,879.2,30.0,78.2,28.94,0.46086666666666676,0
CAP_20260817_070004,2026-08-17 07:00:04,6.29,878.9,30.1,78.2,28.94,0.4673666666666667,0
CAP_20260817_080003,2026-08-17 08:00:03,6.38,877.7,30.4,72.0,29.0,0.4318666666666666,0
CAP_20260817_090003,2026-08-17 09:00:03,6.31,874.0,31.4,70.2,29.19,0.4133666666666666,1
CAP_20260817_100003,2026-08-17 10:00:03,6.39,867.2,31.8,70.5,29.5,0.4265333333333334,1
CAP_20260817_110003,2026-08-17 11:00:03,6.36,859.9,31.7,71.8,29.81,0.4188666666666666,1
CAP_20260817_120003,2026-08-17 12:00:03,6.46,855.0,32.4,67.3,30.06,0.4325333333333334,1
CAP_20260817_130003,2026-08-17 13:00:03,6.47,850.2,32.3,67.8,30.25,0.4325333333333334,1
CAP_20260817_140003,2026-08-17 14:00:03,6.41,864.7,29.2,77.7,29.5,0.4725333333333334,0
CAP_20260817_150003,2026-08-17 15:00:03,6.34,873.5,32.6,69.1,29.12,0.4148666666666666,1
CAP_20260817_160004,2026-08-17 16:00:04,6.44,872.9,33.9,67.5,29.19,0.4285333333333334,1
CAP_20260817_170004,2026-08-17 17:00:04,6.46,870.0,34.0,65.2,29.31,0.4287333333333333,1
CAP_20260817_180003,2026-08-17 18:00:03,6.45,872.5,33.6,67.5,29.19,0.4325333333333334,1
CAP_20260817_190003,2026-08-17 19:00:03,6.37,874.1,33.4,66.5,29.06,0.4036666666666667,1
CAP_20260817_200003,2026-08-17 20:00:03,6.45,878.6,31.2,70.2,28.81,0.4325333333333334,1
CAP_20260817_210003,2026-08-17 21:00:03,6.34,879.8,31.1,70.8,28.75,0.4188666666666666,1
CAP_20260819_115127,2026-08-19 11:51:27,6.58,811.0,30.9,74.4,30.06,0.998,1
CAP_20260819_115305,2026-08-19 11:53:05,6.59,810.4,31.3,73.0,30.06,1.0,1
CAP_20260819_115545,2026-08-19 11:55:45,6.49,809.7,32.0,69.1,30.06,0.43693333333333334,1
CAP_20260819_120003,2026-08-19 12:00:03,6.55,808.8,32.3,67.6,30.06,1.0,1
CAP_20260819_120111,2026-08-19 12:01:11,6.61,808.4,32.2,68.7,30.06,1.0,1
CAP_20260819_130003,2026-08-19 13:00:03,6.57,795.4,33.1,67.2,30.37,1.0,1
