capture_id,visual_timestamp,labelled_plants,healthy_plants,unhealthy_plants,visible_unhealthy_fraction,any_visible_unhealthy,lag_0m_sensor_timestamp,lag_0m_sensor_capture_id,lag_0m_sensor_risk,lag_0m_expert_warning,lag_0m_tds,lag_0m_ph,lag_15m_sensor_timestamp,lag_15m_sensor_capture_id,lag_15m_sensor_risk,lag_15m_expert_warning,lag_15m_tds,lag_15m_ph,lag_30m_sensor_timestamp,lag_30m_sensor_capture_id,lag_30m_sensor_risk,lag_30m_expert_warning,lag_30m_tds,lag_30m_ph,lag_60m_sensor_timestamp,lag_60m_sensor_capture_id,lag_60m_sensor_risk,lag_60m_expert_warning,lag_60m_tds,lag_60m_ph,lag_120m_sensor_timestamp,lag_120m_sensor_capture_id,lag_120m_sensor_risk,lag_120m_expert_warning,lag_120m_tds,lag_120m_ph,previous_60m_records,previous_60m_mean_sensor_risk,previous_60m_max_sensor_risk,previous_60m_expert_warning_fraction,previous_60m_min_tds,previous_60m_max_tds,previous_120m_records,previous_120m_mean_sensor_risk,previous_120m_max_sensor_risk,previous_120m_expert_warning_fraction,previous_120m_min_tds,previous_120m_max_tds
CAP_20260829_111323,2026-08-29 11:13:23,11,11,0,0.0,0,2026-08-29 11:13:23,CAP_20260829_111323,0.9664999999999999,1,723.8,6.22,,,,,,,,,,,,,,,,,,,,,,,,,1,0.9664999999999999,0.9664999999999999,1.0,723.8,723.8,1,0.9664999999999999,0.9664999999999999,1.0,723.8,723.8
CAP_20260829_120003,2026-08-29 12:00:03,11,11,0,0.0,0,2026-08-29 12:00:03,CAP_20260829_120003,0.9704999999999999,1,710.8,6.35,2026-08-29 11:45:03,CAP_20260829_114503,0.9704999999999999,1.0,712.1,6.2,2026-08-29 11:30:03,CAP_20260829_113003,0.9696666666666667,1.0,715.5,6.17,,,,,,,,,,,,,5,0.9687333333333333,0.9704999999999999,1.0,710.8,723.8,5,0.9687333333333333,0.9704999999999999,1.0,710.8,723.8
CAP_20260829_130004,2026-08-29 13:00:04,11,11,0,0.0,0,2026-08-29 13:00:04,CAP_20260829_130004,0.9664999999999999,1,701.1,6.2,2026-08-29 12:45:03,CAP_20260829_124503,0.9664999999999999,1.0,704.0,6.25,2026-08-29 12:30:03,CAP_20260829_123003,0.9696666666666667,1.0,706.2,6.18,2026-08-29 12:00:03,CAP_20260829_120003,0.9704999999999999,1.0,710.8,6.35,,,,,,,4,0.9687916666666666,0.9724999999999999,1.0,701.1,708.8,9,0.9687592592592592,0.9724999999999999,1.0,701.1,723.8
CAP_20260829_140004,2026-08-29 14:00:04,10,10,0,0.0,0,2026-08-29 14:00:04,CAP_20260829_140004,0.34626666666666667,1,814.7,5.98,2026-08-29 13:45:03,CAP_20260829_134503,0.34626666666666667,1.0,816.0,5.89,2026-08-29 13:30:03,CAP_20260829_133003,0.34626666666666667,1.0,810.6,5.89,2026-08-29 13:00:04,CAP_20260829_130004,0.9664999999999999,1.0,701.1,6.2,2026-08-29 12:00:03,CAP_20260829_120003,0.9704999999999999,1.0,710.8,6.35,5,0.59436,0.9664999999999999,1.0,701.1,816.0,8,0.7350583333333334,0.9724999999999999,1.0,701.1,816.0
CAP_20260829_150004,2026-08-29 15:00:04,11,11,0,0.0,0,2026-08-29 15:00:04,CAP_20260829_150004,0.3622666666666666,1,811.1,6.15,2026-08-29 14:45:04,CAP_20260829_144504,0.34926666666666667,1.0,812.9,6.12,2026-08-29 14:30:03,CAP_20260829_143003,0.34926666666666667,1.0,813.5,6.11,2026-08-29 14:00:04,CAP_20260829_140004,0.34626666666666667,1.0,814.7,5.98,2026-08-29 13:00:04,CAP_20260829_130004,0.9664999999999999,1.0,701.1,6.2,5,0.3512666666666666,0.3622666666666666,1.0,811.1,814.7,9,0.4868740740740741,0.9664999999999999,1.0,701.1,816.0
CAP_20260829_160004,2026-08-29 16:00:04,11,11,0,0.0,0,2026-08-29 16:00:04,CAP_20260829_160004,0.34926666666666667,1,808.6,6.12,2026-08-29 15:45:04,CAP_20260829_154504,0.3622666666666666,1.0,809.0,6.18,2026-08-29 15:30:03,CAP_20260829_153003,0.3522666666666667,1.0,810.9,6.14,2026-08-29 15:00:04,CAP_20260829_150004,0.3622666666666666,1.0,811.1,6.15,2026-08-29 14:00:04,CAP_20260829_140004,0.34626666666666667,1.0,814.7,5.98,5,0.3550666666666667,0.3622666666666666,1.0,808.6,811.1,9,0.3521555555555556,0.3622666666666666,1.0,808.6,814.7
CAP_20260830_063007,2026-08-30 06:30:07,9,9,0,0.0,0,2026-08-30 06:30:07,CAP_20260830_063007,0.4577666666666667,0,811.3,6.32,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4577666666666667,0.4577666666666667,0.0,811.3,811.3,1,0.4577666666666667,0.4577666666666667,0.0,811.3,811.3
CAP_20260830_070004,2026-08-30 07:00:04,10,10,0,0.0,0,2026-08-30 07:00:04,CAP_20260830_070004,0.45676666666666665,0,772.9,6.21,2026-08-30 06:45:04,CAP_20260830_064504,0.45676666666666665,0.0,776.2,6.21,2026-08-30 06:30:07,CAP_20260830_063007,0.4577666666666667,0.0,811.3,6.32,,,,,,,,,,,,,3,0.45710000000000006,0.4577666666666667,0.0,772.9,811.3,3,0.45710000000000006,0.4577666666666667,0.0,772.9,811.3
CAP_20260901_080006,2026-09-01 08:00:06,10,5,5,0.5,1,2026-09-01 08:00:06,CAP_20260901_080006,1.0,1,765.2,7.21,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,1.0,1.0,765.2,765.2,1,1.0,1.0,1.0,765.2,765.2
CAP_20260901_090003,2026-09-01 09:00:03,11,3,8,0.7272727272727273,1,2026-09-01 09:00:03,CAP_20260901_090003,0.46086666666666676,0,834.0,6.34,,,,,,,2026-09-01 08:30:04,CAP_20260901_083004,0.5059333333333333,0.0,760.9,6.47,2026-09-01 08:00:06,CAP_20260901_080006,1.0,1.0,765.2,7.21,,,,,,,3,0.6556000000000001,1.0,0.3333333333333333,760.9,834.0,3,0.6556000000000001,1.0,0.3333333333333333,760.9,834.0
CAP_20260901_100004,2026-09-01 10:00:04,7,0,7,1.0,1,2026-09-01 10:00:04,CAP_20260901_100004,0.4157666666666666,1,805.7,6.3,,,,,,,2026-09-01 09:30:03,CAP_20260901_093003,0.42276666666666657,1.0,822.0,6.26,2026-09-01 09:00:03,CAP_20260901_090003,0.46086666666666676,0.0,834.0,6.34,2026-09-01 08:00:06,CAP_20260901_080006,1.0,1.0,765.2,7.21,2,0.41926666666666657,0.42276666666666657,1.0,805.7,822.0,5,0.5610666666666667,1.0,0.6,760.9,834.0
CAP_20260901_110004,2026-09-01 11:00:04,7,0,7,1.0,1,2026-09-01 11:00:04,CAP_20260901_110004,0.994,1,778.3,6.53,,,,,,,2026-09-01 10:30:04,CAP_20260901_103004,0.43326666666666663,1.0,791.1,6.42,2026-09-01 10:00:04,CAP_20260901_100004,0.4157666666666666,1.0,805.7,6.3,2026-09-01 09:00:03,CAP_20260901_090003,0.46086666666666676,0.0,834.0,6.34,3,0.6143444444444445,0.994,1.0,778.3,805.7,4,0.5664499999999999,0.994,1.0,778.3,822.0
