threshold,samples,accuracy,balanced_accuracy,macro_f1,unhealthy_precision,unhealthy_recall,unhealthy_f1,healthy_correct_tn,healthy_as_unhealthy_fp,unhealthy_as_healthy_fn,unhealthy_correct_tp
0.05,149,0.5771812080536913,0.6564327485380117,0.5722488038277511,0.4594594594594595,0.9444444444444444,0.6181818181818182,35,60,3,51
0.06,149,0.5906040268456376,0.662962962962963,0.5879312689849028,0.4672897196261682,0.9259259259259259,0.6211180124223602,38,57,4,50
0.07,149,0.6241610738255033,0.6892787524366472,0.6233297219212712,0.49019607843137253,0.9259259259259259,0.6410256410256411,43,52,4,50
0.08,149,0.6241610738255033,0.6852826510721248,0.6237373737373737,0.49,0.9074074074074074,0.6363636363636364,44,51,5,49
0.09,149,0.6308724832214765,0.6905458089668616,0.6306062654947036,0.494949494949495,0.9074074074074074,0.6405228758169934,45,50,5,49
0.1,149,0.6510067114093959,0.7063352826510721,0.650990990990991,0.5104166666666666,0.9074074074074074,0.6533333333333333,48,47,5,49
0.11,149,0.6778523489932886,0.7273879142300195,0.6777217015140591,0.532608695652174,0.9074074074074074,0.6712328767123288,52,43,5,49
0.12,149,0.697986577181208,0.7391812865497076,0.6971134300040656,0.5517241379310345,0.8888888888888888,0.6808510638297872,56,39,6,48
0.13,149,0.7046979865771812,0.740448343079922,0.7030797101449275,0.5595238095238095,0.8703703703703703,0.6811594202898551,58,37,7,47
0.14,149,0.7181208053691275,0.7509746588693957,0.715958605664488,0.573170731707317,0.8703703703703703,0.6911764705882353,60,35,7,47
0.15,149,0.7181208053691275,0.7509746588693957,0.715958605664488,0.573170731707317,0.8703703703703703,0.6911764705882353,60,35,7,47
0.16,149,0.7181208053691275,0.7429824561403509,0.7144030668127053,0.5769230769230769,0.8333333333333334,0.6818181818181818,62,33,9,45
0.17,149,0.7315436241610739,0.7535087719298246,0.7271062271062271,0.5921052631578947,0.8333333333333334,0.6923076923076923,64,31,9,45
0.18,149,0.7181208053691275,0.734990253411306,0.7124080882352941,0.581081081081081,0.7962962962962963,0.671875,64,31,11,43
0.19,149,0.7315436241610739,0.7455165692007797,0.7249907715023994,0.5972222222222222,0.7962962962962963,0.6825396825396826,66,29,11,43
0.2,149,0.7315436241610739,0.7455165692007797,0.7249907715023994,0.5972222222222222,0.7962962962962963,0.6825396825396826,66,29,11,43
0.21,149,0.7315436241610739,0.7415204678362572,0.7237671486837226,0.6,0.7777777777777778,0.6774193548387096,67,28,12,42
